PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported,Notes
1496-2-323-413-612-69,1,1,2021-10-19,20:08:55,N/A,N/A,N/A,Methane,N/A,71,113,29,,0.94,N/A,N/A,1,
1496-2-324-571-770-70,1,1,2021-10-19,20:12:35,N/A,N/A,N/A,Methane,N/A,163,259,67,,0.94,N/A,N/A,1,
1496-2-325-665-864-71,1,1,2021-10-19,20:16:40,N/A,N/A,N/A,Methane,N/A,80,127,33,,0.97,N/A,N/A,1,
1496-2-326-939-1138-72,1,1,2021-10-19,20:20:02,N/A,N/A,N/A,Methane,N/A,71,112,30,,0.98,N/A,N/A,1,
1496-2-327-1016-1215-73,1,1,2021-10-19,20:24:34,N/A,N/A,N/A,Methane,N/A,166,264,68,,1,N/A,N/A,1,
1496-2-328-1013-1212-74,1,1,2021-10-19,20:28:35,N/A,N/A,N/A,Methane,N/A,108,172,44,,1.02,N/A,N/A,1,
1496-2-329-571-770-75,1,1,2021-10-19,20:33:04,N/A,N/A,N/A,Methane,N/A,105,168,42,,1.04,N/A,N/A,1,
1496-3-101-1397-1596-76,1,1,2021-10-20,17:48:41,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1,
1496-3-102-995-1194-77,1,1,2021-10-20,17:54:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1,
1496-3-103-956-1155-78,1,1,2021-10-20,17:58:33,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1,
1496-3-104-893-1092-79,1,1,2021-10-20,18:03:05,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-105-576-775-80,1,1,2021-10-20,18:07:55,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-106-979-1178-81,1,1,2021-10-20,18:12:27,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-107-736-935-82,1,1,2021-10-20,18:17:17,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-108-496-695-83,1,1,2021-10-20,18:22:21,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-109-854-1053-84,1,N/A,2021-10-20,18:27:04,N/A,N/A,N/A,Methane,N/A,4.5,7.3,1.7,,1.3,N/A,N/A,1,
1496-3-110-754-953-85,1,1,2021-10-20,18:31:11,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-111-936-1135-86,1,1,2021-10-20,18:35:18,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-112-715-914-87,1,1,2021-10-20,18:40:14,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-113-721-920-88,1,1,2021-10-20,18:44:16,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-114-654-853-89,1,1,2021-10-20,18:49:27,N/A,N/A,N/A,Methane,N/A,4.5,7,2,,1.36,N/A,N/A,1,
1496-3-115-210-409-90,1,1,2021-10-20,18:53:23,N/A,N/A,N/A,Methane,N/A,6.4,10.3,2.5,,1.39,N/A,N/A,1,
1496-3-116-969-1168-91,1,1,2021-10-20,18:58:04,N/A,N/A,N/A,Methane,N/A,6.4,10.1,2.7,,1.41,N/A,N/A,1,
1496-3-117-910-1109-92,1,1,2021-10-20,19:02:31,N/A,N/A,N/A,Methane,N/A,6.9,11,2.8,,1.44,N/A,N/A,1,
1496-3-118-796-995-93,1,1,2021-10-20,19:06:07,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-119-650-849-94,1,1,2021-10-20,19:11:20,N/A,N/A,N/A,Methane,N/A,6,9.4,2.6,,1.52,N/A,N/A,1,
1496-3-120-984-1183-95,1,1,2021-10-20,19:14:50,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-121-359-558-96,1,1,2021-10-20,19:20:14,N/A,N/A,N/A,Methane,N/A,16,26,6,,1.55,N/A,N/A,1,
1496-3-122-953-1152-97,1,1,2021-10-20,19:25:01,N/A,N/A,N/A,Methane,N/A,15,23,7,,1.58,N/A,N/A,1,
1496-3-123-707-906-98,1,1,2021-10-20,19:29:16,N/A,N/A,N/A,Methane,N/A,9,14,4,,1.61,N/A,N/A,1,
1496-3-124-448-647-99,1,1,2021-10-20,19:33:41,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-125-784-983-100,1,1,2021-10-20,19:37:50,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-126-852-1051-101,1,1,2021-10-20,19:42:20,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-127-423-622-102,1,1,2021-10-20,19:46:54,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-128-945-1144-103,1,1,2021-10-20,19:51:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-129-513-712-104,1,1,2021-10-20,19:55:51,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-131-551-750-105,1,1,2021-10-20,20:04:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-132-731-930-106,1,1,2021-10-20,20:08:27,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-3-133-756-955-107,1,1,2021-10-20,20:13:28,N/A,N/A,N/A,Methane,N/A,23,37,9,,1.74,N/A,N/A,1,
1496-3-134-965-1164-108,1,1,2021-10-20,20:17:43,N/A,N/A,N/A,Methane,N/A,19,30,8,,1.75,N/A,N/A,1,
1496-3-135-826-1025-109,1,1,2021-10-20,20:21:56,N/A,N/A,N/A,Methane,N/A,34,55,13,,1.77,N/A,N/A,1,
1496-3-136-1117-1316-110,1,1,2021-10-20,20:26:36,N/A,N/A,N/A,Methane,N/A,58,94,22,,1.78,N/A,N/A,1,
1496-3-137-764-963-111,1,1,2021-10-20,20:30:36,N/A,N/A,N/A,Methane,N/A,22,35,9,,1.79,N/A,N/A,1,
1496-3-138-1048-1247-112,1,1,2021-10-20,20:35:13,N/A,N/A,N/A,Methane,N/A,26,42,10,,1.81,N/A,N/A,1,
1496-3-139-886-1085-113,1,1,2021-10-20,20:39:08,N/A,N/A,N/A,Methane,N/A,100,159,41,,1.83,N/A,N/A,1,
1496-3-140-565-764-114,1,1,2021-10-20,20:43:48,N/A,N/A,N/A,Methane,N/A,60,95,25,,1.85,N/A,N/A,1,
1496-3-141-802-1001-115,1,1,2021-10-20,20:47:48,N/A,N/A,N/A,Methane,N/A,108,170,46,,1.86,N/A,N/A,1,
1496-3-142-650-849-116,1,1,2021-10-20,20:52:13,N/A,N/A,N/A,Methane,N/A,73,116,30,,1.86,N/A,N/A,1,
1496-4-101-1107 - 1306-117,1,1,2021-10-21,17:45:06,N/A,N/A,N/A,Methane,N/A,645,1018,272,,2.43,N/A,N/A,1,
1496-4-102-1292-1491-118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Target missed (outside instrument field of view)
1496-4-103-1153 - 1352-119,1,1,2021-10-21,17:53:24,N/A,N/A,N/A,Methane,N/A,461,731,191,,2.43,N/A,N/A,1,
1496-4-104-1156 - 1355-120,1,1,2021-10-21,17:57:39,N/A,N/A,N/A,Methane,N/A,1390,2210,570,,2.43,N/A,N/A,1,
1496-4-105-915 - 1114-121,1,1,2021-10-21,18:01:43,N/A,N/A,N/A,Methane,N/A,1361,2164,558,,2.43,N/A,N/A,1,
1496-4-106-1188 - 1387-122,1,1,2021-10-21,18:06:58,N/A,N/A,N/A,Methane,N/A,1825,2894,756,,2.43,N/A,N/A,1,
1496-4-107-1043 - 1242-123,1,1,2021-10-21,18:10:54,N/A,N/A,N/A,Methane,N/A,1770,2807,733,,2.43,N/A,N/A,1,
1496-4-108-923 - 1122-124,1,1,2021-10-21,18:15:00,N/A,N/A,N/A,Methane,N/A,1445,2289,601,,2.43,N/A,N/A,1,
1496-4-109-248 - 447-125,1,1,2021-10-21,18:18:24,N/A,N/A,N/A,Methane,N/A,1324,2088,560,,2.44,N/A,N/A,1,
1496-4-110-822 - 1021-126,1,1,2021-10-21,18:22:18,N/A,N/A,N/A,Methane,N/A,2297,3660,934,,2.44,N/A,N/A,1,
1496-4-111-1057 - 1256-127,1,1,2021-10-21,18:26:00,N/A,N/A,N/A,Methane,N/A,2801,4478,1124,,2.44,N/A,N/A,1,
1496-4-112-1304-1503-128,1,1,2021-10-21,18:29:28,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-113-522-721-129,1,1,2021-10-21,18:33:29,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-114-1273 - 1472-130,1,1,2021-10-21,18:37:47,N/A,N/A,N/A,Methane,N/A,396,626,166,,2.39,N/A,N/A,1,
1496-4-115-1249 - 1448-131,1,1,2021-10-21,18:41:42,N/A,N/A,N/A,Methane,N/A,404,639,169,,2.37,N/A,N/A,1,
1496-4-117-917 - 1116-132,1,1,2021-10-21,18:50:25,N/A,N/A,N/A,Methane,N/A,410,654,166,,2.3,N/A,N/A,1,
1496-4-118-1072 - 1271-133,1,1,2021-10-21,18:54:43,N/A,N/A,N/A,Methane,N/A,302,477,127,,2.28,N/A,N/A,1,
1496-4-119-538 - 737-134,1,1,2021-10-21,18:58:29,N/A,N/A,N/A,Methane,N/A,278,442,114,,2.25,N/A,N/A,1,
1496-4-120-1070 - 1269-135,1,1,2021-10-21,19:02:43,N/A,N/A,N/A,Methane,N/A,382,606,158,,2.22,N/A,N/A,1,
1496-4-121-1103 - 1302-136,1,1,2021-10-21,19:06:40,N/A,N/A,N/A,Methane,N/A,426,676,176,,2.19,N/A,N/A,1,
1496-4-122-1033 - 1232-137,1,1,2021-10-21,19:10:54,N/A,N/A,N/A,Methane,N/A,394,628,160,,2.16,N/A,N/A,1,
1496-4-123-527-726-138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Target missed (outside instrument field of view)
1496-4-124-887 - 1086-139,1,1,2021-10-21,19:18:58,N/A,N/A,N/A,Methane,N/A,351,556,146,,2.11,N/A,N/A,1,
1496-4-125-794 - 993-140,1,1,2021-10-21,19:23:03,N/A,N/A,N/A,Methane,N/A,383,613,153,,2.08,N/A,N/A,1,
1496-4-126-1102 - 1301-141,1,1,2021-10-21,19:27:05,N/A,N/A,N/A,Methane,N/A,340,539,141,,2.05,N/A,N/A,1,
1496-4-127-964 - 1163-142,1,1,2021-10-21,19:30:42,N/A,N/A,N/A,Methane,N/A,433,685,181,,2.03,N/A,N/A,1,
1496-4-128-1161 - 1360-143,1,1,2021-10-21,19:34:53,N/A,N/A,N/A,Methane,N/A,512,816,208,,2.01,N/A,N/A,1,
1496-4-129-863-1062-144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Failed retrieval due to irregular trajectory
1496-4-130-836-1035-145,1,1,2021-10-21,19:42:42,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-131-876-1075-146,1,1,2021-10-21,19:46:13,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-132-1007-1206-147,1,1,2021-10-21,19:50:14,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-133-760 - 959-148,1,1,2021-10-21,19:54:23,N/A,N/A,N/A,Methane,N/A,9,15,3,,1.93,N/A,N/A,1,
1496-4-136-663 - 862-149,1,1,2021-10-21,20:06:16,N/A,N/A,N/A,Methane,N/A,20,32,8,,1.88,N/A,N/A,1,
1496-4-137-677-876-150,1,1,2021-10-21,20:09:17,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-138-1119-1318-151,1,1,2021-10-21,20:13:01,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-139-946-1145-152,1,1,2021-10-21,20:16:38,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-4-140-1064 - 1263-153,1,1,2021-10-21,20:21:16,N/A,N/A,N/A,Methane,N/A,14,22,6,,1.82,N/A,N/A,1,
1496-4-141-613-812-154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Failed retrieval due to irregular trajectory
1496-4-142-945 - 1144-155,1,1,2021-10-21,20:28:23,N/A,N/A,N/A,Methane,N/A,15,24,6,,1.79,N/A,N/A,1,
1496-4-143-634 - 833-156,1,1,2021-10-21,20:31:57,N/A,N/A,N/A,Methane,N/A,14,22,6,,1.78,N/A,N/A,1,
1496-4-144-953 - 1152-157,1,1,2021-10-21,20:36:31,N/A,N/A,N/A,Methane,N/A,12,19,5,,1.78,N/A,N/A,1,
1496-4-145-853 - 1052-158,1,1,2021-10-21,20:40:37,N/A,N/A,N/A,Methane,N/A,18,29,7,,1.79,N/A,N/A,1,
1496-4-146-912 - 1111-159,1,1,2021-10-21,20:44:43,N/A,N/A,N/A,Methane,N/A,14,22,6,,1.79,N/A,N/A,1,
1496-5-101-650-849-160,1,1,2021-10-22,17:50:13,N/A,N/A,N/A,Methane,N/A,536,850,222,,1.08,N/A,N/A,1,
1496-5-102-988-1187-161,1,1,2021-10-22,17:54:56,N/A,N/A,N/A,Methane,N/A,407,648,166,,1.12,N/A,N/A,1,
1496-5-103-704-903-162,1,1,2021-10-22,17:58:42,N/A,N/A,N/A,Methane,N/A,385,605,165,,1.23,N/A,N/A,1,
1496-5-104-956-1155-163,1,1,2021-10-22,18:03:40,N/A,N/A,N/A,Methane,N/A,612,976,248,,1.29,N/A,N/A,1,
1496-5-105-442-641-164,1,1,2021-10-22,18:07:35,N/A,N/A,N/A,Methane,N/A,1205,1912,498,,1.38,N/A,N/A,1,
1496-5-106-717-916-165,1,1,2021-10-22,18:12:07,N/A,N/A,N/A,Methane,N/A,1044,1639,449,,1.45,N/A,N/A,1,
1496-5-107-513-712-166,1,1,2021-10-22,18:16:13,N/A,N/A,N/A,Methane,N/A,884,1436,332,,1.52,N/A,N/A,1,
1496-5-108-909-1108-167,1,1,2021-10-22,18:20:48,N/A,N/A,N/A,Methane,N/A,860,1379,341,,1.59,N/A,N/A,1,
1496-5-109-617-816-168,1,1,2021-10-22,18:24:15,N/A,N/A,N/A,Methane,N/A,906,1452,360,,1.66,N/A,N/A,1,
1496-5-110-694-893-169,1,1,2021-10-22,18:29:03,N/A,N/A,N/A,Methane,N/A,6314,10133,2495,,1.74,N/A,N/A,1,
1496-5-111-695-894-170,1,1,2021-10-22,18:32:50,N/A,N/A,N/A,Methane,N/A,1659,2618,700,,1.82,N/A,N/A,1,
1496-5-112-361-560-171,1,1,2021-10-22,18:37:31,N/A,N/A,N/A,Methane,N/A,2874,4567,1181,,1.93,N/A,N/A,1,
1496-5-113-440-639-172,1,1,2021-10-22,18:41:16,N/A,N/A,N/A,Methane,N/A,1725,2761,689,,2.02,N/A,N/A,1,
1496-5-114-491-690-173,1,1,2021-10-22,18:46:09,N/A,N/A,N/A,Methane,N/A,207,329,85,,2.14,N/A,N/A,1,
1496-5-115-707-906-174,1,1,2021-10-22,18:49:59,N/A,N/A,N/A,Methane,N/A,464,736,192,,2.23,N/A,N/A,1,
1496-5-116-560-759-175,1,1,2021-10-22,18:54:44,N/A,N/A,N/A,Methane,N/A,768,1221,315,,2.34,N/A,N/A,1,
1496-5-117-783-982-176,1,1,2021-10-22,18:58:28,N/A,N/A,N/A,Methane,N/A,1569,2494,644,,2.43,N/A,N/A,1,
1496-5-118-263-462-177,1,1,2021-10-22,19:03:22,N/A,N/A,N/A,Methane,N/A,1061,1694,428,,2.56,N/A,N/A,1,
1496-5-119-473-672-178,1,1,2021-10-22,19:07:11,N/A,N/A,N/A,Methane,N/A,1907,3024,790,,2.64,N/A,N/A,1,
