PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1496-1-107-932-1131-13,1,1,2021-10-18,18:07:47,N/A,N/A,N/A,Methane,N/A,535,721,349,,7.91,N/A,N/A,1
1496-1-307-1608-1807-14,1,1,2021-10-18,18:11:36,N/A,N/A,N/A,Methane,N/A,342,461,223,,8.33,N/A,N/A,1
1496-1-108-702-901-15,1,1,2021-10-18,18:15:02,N/A,N/A,N/A,Methane,N/A,477,644,311,,8.45,N/A,N/A,1
1496-1-308-1364-1563-16,1,1,2021-10-18,18:18:59,N/A,N/A,N/A,Methane,N/A,395,538,253,,8.17,N/A,N/A,1
1496-1-109-578-777-17,1,1,2021-10-18,18:22:12,N/A,N/A,N/A,Methane,N/A,503,680,326,,11.72,N/A,N/A,1
1496-1-309-1389-1588-18,1,1,2021-10-18,18:26:14,N/A,N/A,N/A,Methane,N/A,454,606,302,,9.75,N/A,N/A,1
1496-1-110-0510-0709-19,1,1,2021-10-18,18:29:08,N/A,N/A,N/A,Methane,N/A,346,472,220,,8.96,N/A,N/A,1
1496-1-111-0929-1128-20,1,1,2021-10-18,18:36:57,N/A,N/A,N/A,Methane,N/A,362,484,240,,10.05,N/A,N/A,1
1496-1-311-889-1088-21,1,1,2021-10-18,18:39:46,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-112-430-629-22,1,1,2021-10-18,18:44:23,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-312-1188-1387-23,1,1,2021-10-18,18:47:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-131-609-808-24,1,1,2021-10-18,18:51:04,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-313-1228-1427-25,1,1,2021-10-18,18:54:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-114-0735-0934-26,1,1,2021-10-18,18:58:38,N/A,N/A,N/A,Methane,N/A,267,370,164,,10.9,N/A,N/A,1
1496-1-314-1284-1493-27,1,1,2021-10-18,19:01:35,N/A,N/A,N/A,Methane,N/A,277,373,182,,8.84,N/A,N/A,1
1496-1-115-657-856-28,1,1,2021-10-18,19:02:35,N/A,N/A,N/A,Methane,N/A,340,459,222,,7.51,N/A,N/A,1
1496-1-315-1227-1426-29,1,1,2021-10-18,19:10:13,N/A,N/A,N/A,Methane,N/A,306,419,193,,6.98,N/A,N/A,1
1496-1-116-696-895-30,1,1,2021-10-18,19:13:29,N/A,N/A,N/A,Methane,N/A,242,326,158,,8.38,N/A,N/A,1
1496-1-316-1423-1622-31,1,1,2021-10-18,19:17:26,N/A,N/A,N/A,Methane,N/A,317,438,196,,9.67,N/A,N/A,1
1496-1-317-1797-1996-32,1,1,2021-10-18,19:24:45,N/A,N/A,N/A,Methane,N/A,282,379,185,,8.99,N/A,N/A,1
1496-2-101-1831-2030-33,1,1,2021-10-19,17:35:51,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-2-102-195-394-34,N/A,N/A,2021-10-19,17:41:29,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-2-103-897-1096-35,1,1,2021-10-19,17:47:05,N/A,N/A,N/A,Methane,N/A,3277,4680,1875,,2.08,N/A,N/A,1
1496-2-105-215-414-36,1,1,2021-10-19,17:51:10,N/A,N/A,N/A,Methane,N/A,3514,4825,2203,,3.61,N/A,N/A,1
1496-2-106-1628-1827-37,1,1,2021-10-19,17:56:26,N/A,N/A,N/A,Methane,N/A,2946,4027,1865,,3.53,N/A,N/A,1
1496-2-107-368-567-38,1,1,2021-10-19,18:00:45,N/A,N/A,N/A,Methane,N/A,2098,2828,1367,,2.84,N/A,N/A,1
1496-2-108-1332-1531-39,1,1,2021-10-19,18:06:19,N/A,N/A,N/A,Methane,N/A,2823,3840,1805,,2.6,N/A,N/A,1
1496-2-109-715-914-40,1,1,2021-10-19,18:10:46,N/A,N/A,N/A,Methane,N/A,5417,7370,3464,,3.95,N/A,N/A,1
1496-2-110-504-703-41,1,1,2021-10-19,18:15:05,N/A,N/A,N/A,Methane,N/A,2070,3197,944,,1.29,N/A,N/A,1
1496-2-111-730-929-42,1,1,2021-10-19,18:19:09,N/A,N/A,N/A,Methane,N/A,3949,5330,2568,,3.14,N/A,N/A,1
1496-2-112-923-1122-43,1,1,2021-10-19,18:24:04,N/A,N/A,N/A,Methane,N/A,1907,3488,326,,1.3,N/A,N/A,1
1496-2-113-543-742-44,1,1,2021-10-19,18:27:56,N/A,N/A,N/A,Methane,N/A,2949,4015,1883,,3.46,N/A,N/A,1
1496-2-114-1031-1230-45,1,1,2021-10-19,18:32:44,N/A,N/A,N/A,Methane,N/A,2389,3401,1377,,2.8,N/A,N/A,1
1496-2-301-900-1099-46,1,1,2021-10-19,18:36:11,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1
1496-2-302-1015-1214-47,1,1,2021-10-19,18:41:26,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1
1496-2-303-705-904-48,1,2,2021-10-19,18:45:56,N/A,N/A,N/A,Methane,N/A,207,288,125,,1.81,N/A,N/A,2
1496-2-303-705-904-49,1,1,2021-10-19,18:45:56,N/A,N/A,N/A,Methane,N/A,131,183,80,,1.81,N/A,N/A,1
1496-2-304-1127-1326-50,1,1,2021-10-19,18:50:16,N/A,N/A,N/A,Methane,N/A,75,102,49,,1.82,N/A,N/A,1
1496-2-305-537-736-51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-2-306-1591-1790-52,1,1,2021-10-19,18:59:55,N/A,N/A,N/A,Methane,N/A,174,238,110,,2.98,N/A,N/A,1
1496-2-307-464-663-53,1,1,2021-10-19,19:04:12,N/A,N/A,N/A,Methane,N/A,115,165,66,,1.63,N/A,N/A,1
1496-2-308-536-735-54,1,1,2021-10-19,19:07:58,N/A,N/A,N/A,Methane,N/A,92,128,57,,1.25,N/A,N/A,1
1496-2-309-580-779-55,1,1,2021-10-19,19:11:56,N/A,N/A,N/A,Methane,N/A,151,205,97,,3.82,N/A,N/A,1
1496-2-310-1343-1542-56,1,1,2021-10-19,19:17:02,N/A,N/A,N/A,Methane,N/A,133,182,83,,3.75,N/A,N/A,1
1496-2-311-837-1036-57,1,1,2021-10-19,19:21:21,N/A,N/A,N/A,Methane,N/A,154,213,96,,2.86,N/A,N/A,1
1496-2-312-1073-1272-58,1,1,2021-10-19,19:25:38,N/A,N/A,N/A,Methane,N/A,234,313,154,,3.76,N/A,N/A,1
1496-2-313-495-694-59,1,1,2021-10-19,19:29:39,N/A,N/A,N/A,Methane,N/A,71,89,53,,5.15,N/A,N/A,1
1496-2-314-1116-1315-60,1,1,2021-10-19,19:33:15,N/A,N/A,N/A,Methane,N/A,86,133,39,,2.99,N/A,N/A,1
1496-2-315-1178-1377-61,1,1,2021-10-19,19:37:03,N/A,N/A,N/A,Methane,N/A,90,126,54,,3.6,N/A,N/A,1
1496-2-316-914-1113-62,1,1,2021-10-19,19:41:16,N/A,N/A,N/A,Methane,N/A,87,116,58,,3.08,N/A,N/A,1
1496-2-317-124-323-63,1,1,2021-10-19,19:45:15,N/A,N/A,N/A,Methane,N/A,424,585,262,,4.63,N/A,N/A,1
1496-2-318-1040-1239-64,1,1,2021-10-19,19:48:44,N/A,N/A,N/A,Methane,N/A,269,360,178,,3.75,N/A,N/A,1
1496-2-319-610-809-65,1,1,2021-10-19,19:52:42,N/A,N/A,N/A,Methane,N/A,384,581,186,,3.21,N/A,N/A,1
1496-2-320-709-908-66,1,1,2021-10-19,19:56:36,N/A,N/A,N/A,Methane,N/A,233,319,148,,3.31,N/A,N/A,1
1496-2-321-623-822-67,1,1,2021-10-19,20:00:41,N/A,N/A,N/A,Methane,N/A,288,388,188,,5.44,N/A,N/A,1
1496-2-322-1236-1425-68,1,1,2021-10-19,20:05:09,N/A,N/A,N/A,Methane,N/A,290,410,170,,3.44,N/A,N/A,1
1496-2-323-413-612-69,1,1,2021-10-19,20:08:55,N/A,N/A,N/A,Methane,N/A,387,524,250,,5.13,N/A,N/A,1
1496-2-324-571-770-70,1,1,2021-10-19,20:12:35,N/A,N/A,N/A,Methane,N/A,368,509,228,,2.13,N/A,N/A,1
1496-2-325-665-864-71,1,1,2021-10-19,20:16:40,N/A,N/A,N/A,Methane,N/A,231,314,149,,2.82,N/A,N/A,1
1496-2-326-939-1138-72,1,1,2021-10-19,20:20:02,N/A,N/A,N/A,Methane,N/A,233,321,145,,3.23,N/A,N/A,1
1496-2-327-1016-1215-73,1,1,2021-10-19,20:24:34,N/A,N/A,N/A,Methane,N/A,381,519,242,,2.29,N/A,N/A,1
1496-2-328-1013-1212-74,1,1,2021-10-19,20:28:35,N/A,N/A,N/A,Methane,N/A,321,459,184,,3.04,N/A,N/A,1
1496-2-329-571-770-75,1,1,2021-10-19,20:33:04,N/A,N/A,N/A,Methane,N/A,276,383,169,,2.73,N/A,N/A,1
1496-3-101-1397-1596-76,1,1,2021-10-20,17:48:41,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1
1496-3-102-995-1194-77,1,1,2021-10-20,17:54:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1
1496-3-103-956-1155-78,1,1,2021-10-20,17:58:33,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1
1496-3-104-893-1092-79,1,1,2021-10-20,18:03:05,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-105-576-775-80,1,1,2021-10-20,18:07:55,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-106-979-1178-81,1,1,2021-10-20,18:12:27,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-107-736-935-82,1,1,2021-10-20,18:17:17,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-108-496-695-83,1,1,2021-10-20,18:22:21,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-109-854-1053-84,1,N/A,2021-10-20,18:27:04,N/A,N/A,N/A,Methane,N/A,19,26,11,,5.43,N/A,N/A,1
1496-3-110-754-953-85,1,1,2021-10-20,18:31:11,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-111-936-1135-86,1,1,2021-10-20,18:35:18,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-112-715-914-87,1,1,2021-10-20,18:40:14,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-113-721-920-88,1,1,2021-10-20,18:44:16,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-114-654-853-89,1,1,2021-10-20,18:49:27,N/A,N/A,N/A,Methane,N/A,13,17,9,,3.94,N/A,N/A,1
1496-3-115-210-409-90,1,1,2021-10-20,18:53:23,N/A,N/A,N/A,Methane,N/A,13,18,8,,2.74,N/A,N/A,1
1496-3-116-969-1168-91,1,1,2021-10-20,18:58:04,N/A,N/A,N/A,Methane,N/A,25,33,16,,5.47,N/A,N/A,1
1496-3-117-910-1109-92,1,1,2021-10-20,19:02:31,N/A,N/A,N/A,Methane,N/A,18,25,12,,3.83,N/A,N/A,1
1496-3-118-796-995-93,1,1,2021-10-20,19:06:07,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-119-650-849-94,1,1,2021-10-20,19:11:20,N/A,N/A,N/A,Methane,N/A,18,24,12,,4.63,N/A,N/A,1
1496-3-120-984-1183-95,1,1,2021-10-20,19:14:50,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-121-359-558-96,1,1,2021-10-20,19:20:14,N/A,N/A,N/A,Methane,N/A,32,43,20,,2.99,N/A,N/A,1
1496-3-122-953-1152-97,1,1,2021-10-20,19:25:01,N/A,N/A,N/A,Methane,N/A,32,43,22,,3.34,N/A,N/A,1
1496-3-123-707-906-98,1,1,2021-10-20,19:29:16,N/A,N/A,N/A,Methane,N/A,20,27,13,,3.55,N/A,N/A,1
1496-3-124-448-647-99,1,1,2021-10-20,19:33:41,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-125-784-983-100,1,1,2021-10-20,19:37:50,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-126-852-1051-101,1,1,2021-10-20,19:42:20,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-127-423-622-102,1,1,2021-10-20,19:46:54,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-128-945-1144-103,1,1,2021-10-20,19:51:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-129-513-712-104,1,1,2021-10-20,19:55:51,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-131-551-750-105,1,1,2021-10-20,20:04:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-132-731-930-106,1,1,2021-10-20,20:08:27,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-3-133-756-955-107,1,1,2021-10-20,20:13:28,N/A,N/A,N/A,Methane,N/A,32,43,21,,2.38,N/A,N/A,1
1496-3-134-965-1164-108,1,1,2021-10-20,20:17:43,N/A,N/A,N/A,Methane,N/A,32,43,21,,2.87,N/A,N/A,1
1496-3-135-826-1025-109,1,1,2021-10-20,20:21:56,N/A,N/A,N/A,Methane,N/A,38,53,23,,1.99,N/A,N/A,1
1496-3-136-1117-1316-110,1,1,2021-10-20,20:26:36,N/A,N/A,N/A,Methane,N/A,105,133,77,,3.24,N/A,N/A,1
1496-3-137-764-963-111,1,1,2021-10-20,20:30:36,N/A,N/A,N/A,Methane,N/A,30,41,18,,2.45,N/A,N/A,1
1496-3-138-1048-1247-112,1,1,2021-10-20,20:35:13,N/A,N/A,N/A,Methane,N/A,31,44,18,,2.14,N/A,N/A,1
1496-3-139-886-1085-113,1,1,2021-10-20,20:39:08,N/A,N/A,N/A,Methane,N/A,242,331,153,,4.43,N/A,N/A,1
1496-3-140-565-764-114,1,1,2021-10-20,20:43:48,N/A,N/A,N/A,Methane,N/A,112,145,79,,3.4,N/A,N/A,1
1496-3-141-802-1001-115,1,1,2021-10-20,20:47:48,N/A,N/A,N/A,Methane,N/A,170,228,112,,2.91,N/A,N/A,1
1496-3-142-650-849-116,1,1,2021-10-20,20:52:13,N/A,N/A,N/A,Methane,N/A,129,175,83,,3.25,N/A,N/A,1
1496-4-101-1107 - 1306-117,1,1,2021-10-21,17:45:06,N/A,N/A,N/A,Methane,N/A,762,1024,500,,2.87,N/A,N/A,1
1496-4-102-1292-1491-118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-103-1153 - 1352-119,1,1,2021-10-21,17:53:24,N/A,N/A,N/A,Methane,N/A,937,1260,614,,4.93,N/A,N/A,1
1496-4-104-1156 - 1355-120,1,1,2021-10-21,17:57:39,N/A,N/A,N/A,Methane,N/A,2704,3613,1794,,4.73,N/A,N/A,1
1496-4-105-915 - 1114-121,1,1,2021-10-21,18:01:43,N/A,N/A,N/A,Methane,N/A,2571,3503,1638,,4.59,N/A,N/A,1
1496-4-106-1188 - 1387-122,1,1,2021-10-21,18:06:58,N/A,N/A,N/A,Methane,N/A,2762,3785,1738,,3.68,N/A,N/A,1
1496-4-107-1043 - 1242-123,1,1,2021-10-21,18:10:54,N/A,N/A,N/A,Methane,N/A,2808,3799,1817,,3.85,N/A,N/A,1
1496-4-108-923 - 1122-124,1,1,2021-10-21,18:15:00,N/A,N/A,N/A,Methane,N/A,2600,3527,1674,,4.37,N/A,N/A,1
1496-4-109-248 - 447-125,1,1,2021-10-21,18:18:24,N/A,N/A,N/A,Methane,N/A,2078,2780,1377,,3.83,N/A,N/A,1
1496-4-110-822 - 1021-126,1,1,2021-10-21,18:22:18,N/A,N/A,N/A,Methane,N/A,3796,5200,2392,,4.03,N/A,N/A,1
1496-4-111-1057 - 1256-127,1,1,2021-10-21,18:26:00,N/A,N/A,N/A,Methane,N/A,3479,4771,2187,,3.03,N/A,N/A,1
1496-4-112-1304-1503-128,1,1,2021-10-21,18:29:28,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-113-522-721-129,1,1,2021-10-21,18:33:29,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-114-1273 - 1472-130,1,1,2021-10-21,18:37:47,N/A,N/A,N/A,Methane,N/A,725,974,476,,4.38,N/A,N/A,1
1496-4-115-1249 - 1448-131,1,1,2021-10-21,18:41:42,N/A,N/A,N/A,Methane,N/A,698,941,455,,4.09,N/A,N/A,1
1496-4-117-917 - 1116-132,1,1,2021-10-21,18:50:25,N/A,N/A,N/A,Methane,N/A,657,892,421,,3.69,N/A,N/A,1
1496-4-118-1072 - 1271-133,1,1,2021-10-21,18:54:43,N/A,N/A,N/A,Methane,N/A,551,740,362,,4.17,N/A,N/A,1
1496-4-119-538 - 737-134,1,1,2021-10-21,18:58:29,N/A,N/A,N/A,Methane,N/A,517,711,323,,4.19,N/A,N/A,1
1496-4-120-1070 - 1269-135,1,1,2021-10-21,19:02:43,N/A,N/A,N/A,Methane,N/A,790,1068,511,,4.59,N/A,N/A,1
1496-4-121-1103 - 1302-136,1,1,2021-10-21,19:06:40,N/A,N/A,N/A,Methane,N/A,842,1136,547,,4.32,N/A,N/A,1
1496-4-122-1033 - 1232-137,1,1,2021-10-21,19:10:54,N/A,N/A,N/A,Methane,N/A,797,1093,501,,4.37,N/A,N/A,1
1496-4-123-527-726-138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-124-887 - 1086-139,1,1,2021-10-21,19:18:58,N/A,N/A,N/A,Methane,N/A,688,939,437,,4.14,N/A,N/A,1
1496-4-125-794 - 993-140,1,1,2021-10-21,19:23:03,N/A,N/A,N/A,Methane,N/A,752,1040,463,,4.08,N/A,N/A,1
1496-4-126-1102 - 1301-141,1,1,2021-10-21,19:27:05,N/A,N/A,N/A,Methane,N/A,709,957,461,,4.27,N/A,N/A,1
1496-4-127-964 - 1163-142,1,1,2021-10-21,19:30:42,N/A,N/A,N/A,Methane,N/A,855,1175,536,,4.01,N/A,N/A,1
1496-4-128-1161 - 1360-143,1,1,2021-10-21,19:34:53,N/A,N/A,N/A,Methane,N/A,985,1359,610,,3.87,N/A,N/A,1
1496-4-129-863-1062-144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-130-836-1035-145,1,1,2021-10-21,19:42:42,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-131-876-1075-146,1,1,2021-10-21,19:46:13,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-132-1007-1206-147,1,1,2021-10-21,19:50:14,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-133-760 - 959-148,1,1,2021-10-21,19:54:23,N/A,N/A,N/A,Methane,N/A,17,22,11,,3.39,N/A,N/A,1
1496-4-136-663 - 862-149,1,1,2021-10-21,20:06:16,N/A,N/A,N/A,Methane,N/A,21,29,13,,1.97,N/A,N/A,1
1496-4-137-677-876-150,1,1,2021-10-21,20:09:17,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-138-1119-1318-151,1,1,2021-10-21,20:13:01,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-139-946-1145-152,1,1,2021-10-21,20:16:38,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-140-1064 - 1263-153,1,1,2021-10-21,20:21:16,N/A,N/A,N/A,Methane,N/A,22,31,14,,2.89,N/A,N/A,1
1496-4-141-613-812-154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-4-142-945 - 1144-155,1,1,2021-10-21,20:28:23,N/A,N/A,N/A,Methane,N/A,19,27,12,,2.35,N/A,N/A,1
1496-4-143-634 - 833-156,1,1,2021-10-21,20:31:57,N/A,N/A,N/A,Methane,N/A,16,22,11,,2.03,N/A,N/A,1
1496-4-144-953 - 1152-157,1,1,2021-10-21,20:36:31,N/A,N/A,N/A,Methane,N/A,20,28,12,,3.01,N/A,N/A,1
1496-4-145-853 - 1052-158,1,1,2021-10-21,20:40:37,N/A,N/A,N/A,Methane,N/A,23,31,15,,2.24,N/A,N/A,1
1496-4-146-912 - 1111-159,1,1,2021-10-21,20:44:43,N/A,N/A,N/A,Methane,N/A,22,29,14,,2.73,N/A,N/A,1
1496-5-101-650-849-160,1,1,2021-10-22,17:50:13,N/A,N/A,N/A,Methane,N/A,878,1241,515,,1.77,N/A,N/A,1
1496-5-102-988-1187-161,1,1,2021-10-22,17:54:56,N/A,N/A,N/A,Methane,N/A,788,1087,489,,2.17,N/A,N/A,1
1496-5-103-704-903-162,1,1,2021-10-22,17:58:42,N/A,N/A,N/A,Methane,N/A,593,820,366,,1.9,N/A,N/A,1
1496-5-104-956-1155-163,1,1,2021-10-22,18:03:40,N/A,N/A,N/A,Methane,N/A,1062,1455,669,,2.24,N/A,N/A,1
1496-5-105-442-641-164,1,1,2021-10-22,18:07:35,N/A,N/A,N/A,Methane,N/A,1672,2380,963,,1.91,N/A,N/A,1
1496-5-106-717-916-165,1,1,2021-10-22,18:12:07,N/A,N/A,N/A,Methane,N/A,872,1211,533,,1.21,N/A,N/A,1
1496-5-107-513-712-166,1,1,2021-10-22,18:16:13,N/A,N/A,N/A,Methane,N/A,495,748,242,,0.85,N/A,N/A,1
1496-5-108-909-1108-167,1,1,2021-10-22,18:20:48,N/A,N/A,N/A,Methane,N/A,668,976,360,,1.24,N/A,N/A,1
1496-5-109-617-816-168,1,1,2021-10-22,18:24:15,N/A,N/A,N/A,Methane,N/A,1339,1852,826,,2.45,N/A,N/A,1
1496-5-110-694-893-169,1,1,2021-10-22,18:29:03,N/A,N/A,N/A,Methane,N/A,2243,3250,1236,,1.4,N/A,N/A,1
1496-5-111-695-894-170,1,1,2021-10-22,18:32:50,N/A,N/A,N/A,Methane,N/A,2239,3036,1441,,2.46,N/A,N/A,1
1496-5-112-361-560-171,1,1,2021-10-22,18:37:31,N/A,N/A,N/A,Methane,N/A,1289,1940,638,,0.87,N/A,N/A,1
1496-5-113-440-639-172,1,1,2021-10-22,18:41:16,N/A,N/A,N/A,Methane,N/A,1293,1864,722,,1.51,N/A,N/A,1
1496-5-114-491-690-173,1,1,2021-10-22,18:46:09,N/A,N/A,N/A,Methane,N/A,264,357,172,,2.74,N/A,N/A,1
1496-5-115-707-906-174,1,1,2021-10-22,18:49:59,N/A,N/A,N/A,Methane,N/A,395,546,243,,1.9,N/A,N/A,1
1496-5-116-560-759-175,1,1,2021-10-22,18:54:44,N/A,N/A,N/A,Methane,N/A,262,380,144,,0.8,N/A,N/A,1
1496-5-117-783-982-176,1,1,2021-10-22,18:58:28,N/A,N/A,N/A,Methane,N/A,892,1274,511,,1.38,N/A,N/A,1
1496-5-118-263-462-177,1,1,2021-10-22,19:03:22,N/A,N/A,N/A,Methane,N/A,794,1096,491,,1.91,N/A,N/A,1
1496-5-119-473-672-178,1,1,2021-10-22,19:07:11,N/A,N/A,N/A,Methane,N/A,892,1354,431,,1.24,N/A,N/A,1
1496-5-120-771-970-179,1,1,2021-10-22,19:11:35,N/A,N/A,N/A,Methane,N/A,805,1279,332,,0.64,N/A,N/A,1
1496-5-121-738-937-180,1,1,2021-10-22,19:15:20,N/A,N/A,N/A,Methane,N/A,618,911,325,,1.05,N/A,N/A,1
1496-5-122-230-429-181,1,1,2021-10-22,19:19:59,N/A,N/A,N/A,Methane,N/A,711,1077,345,,0.88,N/A,N/A,1
1496-5-123-633-832-182,1,1,2021-10-22,19:23:49,N/A,N/A,N/A,Methane,N/A,296,462,129,,0.49,N/A,N/A,1
1496-5-124-647-846-183,1,1,2021-10-22,19:28:28,N/A,N/A,N/A,Methane,N/A,433,686,180,,1.14,N/A,N/A,1
